eventid,angle,carid,driverid,height,lat,lon,lurch,maxvectoracc,midvectoracc,origid,speed,tanage,xacc,yacc,zacc,eventdt,entrydt,iscan
10832348,351,10005,10005,-14,5956.3618,3021.6085,105,0.140000000596046,0.0599999986588955,4689174,21.46,0,0.0199999995529652,-0.0399999991059303,-0.129999995231628,2016-10-09 08:19:32+03,2016-10-24 14:57:42.861+03,True
10832349,355,10005,10005,-13,5956.3691,3021.6083,105,0.200000002980232,0.0599999986588955,4689175,25.53,-1,0.00999999977648258,-0.189999997615814,-0.0700000002980232,2016-10-09 08:19:34+03,2016-10-24 14:57:42.861+03,True
10832350,355,10005,10005,-13,5956.3732,3021.6082,103,0.209999993443489,0.0700000002980232,4689176,26.825,-1,0.0700000002980232,0.0399999991059303,0.189999997615814,2016-10-09 08:19:36+03,2016-10-24 14:57:42.861+03,True
10832351,355,10005,10005,-13,5956.3774,3021.6081,100,0.209999993443489,0.0700000002980232,4689177,27.935,-1,0.0399999991059303,0.150000005960464,0.129999995231628,2016-10-09 08:19:36+03,2016-10-24 14:57:42.861+03,True
10832352,355,10005,10005,-13,5956.3829,3021.6079,87,0.140000000596046,0.0599999986588955,4689178,32.56,0,0.00999999977648258,-0.109999999403954,-0.0900000035762787,2016-10-09 08:19:37+03,2016-10-24 14:57:42.861+03,True
10832353,356,10005,10005,-13,5956.3882,3021.6084,87,0.100000001490116,0.0399999991059303,4689179,32.93,2,-0.0599999986588955,0.0799999982118607,-0.00999999977648258,2016-10-09 08:19:38+03,2016-10-24 14:57:42.861+03,True
10832354,6,10005,10005,-13,5956.3918,3021.6108,87,0.100000001490116,0.0399999991059303,4689180,19.24,3,-0.0199999995529652,0.0399999991059303,-0.0900000035762787,2016-10-09 08:19:39+03,2016-10-24 14:57:42.861+03,True
10832355,13,10005,10005,-13,5956.3949,3021.6136,90,0.0900000035762787,0.0399999991059303,4689181,18.685,3,-0.0399999991059303,0.0799999982118607,0,2016-10-09 08:19:40+03,2016-10-24 14:57:42.861+03,True
10832356,11,10005,10005,-13,5956.3979,3021.6163,91,0.100000001490116,0.0299999993294477,4689182,17.575,3,-0.0599999986588955,0.0599999986588955,-0.0399999991059303,2016-10-09 08:19:41+03,2016-10-24 14:57:42.861+03,True
10832357,16,10005,10005,-13,5956.4006,3021.6189,95,0.109999999403954,0.0299999993294477,4689183,16.28,2,0.0199999995529652,-0.109999999403954,0,2016-10-09 08:19:43+03,2016-10-24 14:57:42.861+03,True
10832358,30,10005,10005,-13,5956.4027,3021.6221,98,0.100000001490116,0.0500000007450581,4689184,13.69,1,0,0.100000001490116,0,2016-10-09 08:19:43+03,2016-10-24 14:57:42.861+03,True
10832359,43,10005,10005,-13,5956.4043,3021.6256,98,0.0900000035762787,0.0299999993294477,4689185,13.32,0,0,-0.0500000007450581,-0.0700000002980232,2016-10-09 08:19:45+03,2016-10-24 14:57:42.861+03,True
10832360,55,10005,10005,-13,5956.4056,3021.6297,99,0.140000000596046,0.0299999993294477,4689186,12.95,0,0.0700000002980232,0.0799999982118607,-0.0900000035762787,2016-10-09 08:19:46+03,2016-10-24 14:57:42.861+03,True
10832361,66,10005,10005,-13,5956.4068,3021.6346,99,0.709999978542328,0.449999988079071,4689187,14.8,-1,-0.200000002980232,0.680000007152557,0.00999999977648258,2016-10-09 08:19:47+03,2016-10-24 14:57:42.861+03,True
10832362,82,10005,10005,-13,5956.4073,3021.64,60,0.259999990463257,0.0399999991059303,4689188,15.91,0,-0.180000007152557,0.170000001788139,-0.0799999982118607,2016-10-09 08:19:48+03,2016-10-24 14:57:42.861+03,True
10832363,89,10005,10005,-13,5956.4078,3021.6511,78,0.100000001490116,0.0500000007450581,4689189,16.0765,-1,0.0700000002980232,-0.0700000002980232,0,2016-10-09 08:19:50+03,2016-10-24 14:57:42.861+03,True
10832364,94,10005,10005,-12,5956.408,3021.6622,89,0.100000001490116,0.0399999991059303,4689190,16.465,-2,0.0199999995529652,-0.0900000035762787,0.0199999995529652,2016-10-09 08:19:51+03,2016-10-24 14:57:42.861+03,True
10832365,96,10005,10005,-10,5956.4028,3021.7213,98,0.109999999403954,0.0399999991059303,4689191,17.0015,-2,-0.0599999986588955,0.0900000035762787,0.0199999995529652,2016-10-09 08:20:01+03,2016-10-24 14:57:42.861+03,True
